"","suburb","state","blurb"
"494","Avenel","VIC","Avenel is a small town in Victoria, Australia. It is in the Shire of Strathbogie local government area. At the 2011 census, Avenel had a population of 1,048,[1] up from 728 at the 2006 census[2] and 552 at the 2001 census.[3]"
"495","Noojee","VIC","Noojee is a town in the Gippsland region of Victoria, Australia, north of Warragul and east of Melbourne, in the Baw Baw local government area. At the 2006 census, Noojee and the surrounding area had a population of 261.[1] The town benefits from tourists passing through to the Mount Baw Baw Alpine Resort, 48 kilometres away, as it is the last stop with tourism services. There are also a number of walks in the area, including the Noojee Trestle Bridge, a 100m wooden rail bridge."
"496","Yarrambat","VIC","Yarrambat is a town in Victoria, Australia, 23.5 km north-east of Melbourne's Central Business District, within the Shire of Nillumbik local government area. Yarrambat recorded a population of 1,588 at the 2016 census."
"497","Bunyip","VIC","Bunyip is a town in Gippsland, Victoria, Australia, 82 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Bunyip recorded a population of 2,468 at the 2016 Census. Its major road connection is via the Princes Highway."
"498","Frankston North","VIC","Frankston North (originally the Pines Forest Estate, also known as ""The Pines"") is a suburb of Melbourne, Victoria, Australia, 38 km south-east of Melbourne's Central Business District, located within the City of Frankston local government area. Frankston North recorded a population of 5,762 at the 2016 Census."
"499","Warrandyte South","VIC","Warrandyte South is a locality within Greater Melbourne, beyond the Melbourne Metropolitan Area Urban Growth Boundary,[2] 25 km north-east of Melbourne's Central Business District. Its local government area is the City of Manningham. At the 2011 census, Warrandyte South had a population of 648."
"500","Carngham","VIC","Carngham is a locality in central Victoria, Australia. The locality is in the Shire of Pyrenees local government area, 151 kilometres (94 mi) west of the state capital, Melbourne."
"501","Colbinabbin","VIC","Colbinabbin /ˈkɒlbɪnæbən/ is a small town in central Victoria, Australia. The name is derived from aboriginal meaning ""the meeting of the black and red soils"".[citation needed] At the 2011 census, Colbinabbin and the surrounding area had a population of 297.[1]"
"502","Durham Lead","VIC","Durham Lead is a suburb on the southern rural-urban fringe of Ballarat in Victoria, Australia. At the 2016 census, Durham Lead had a population of 392.[1]"
"503","Williamstown North","VIC","Williamstown North is a suburb of Melbourne, Victoria, Australia, 7 km south-west of Melbourne's central business district. Its local government area is the City of Hobsons Bay. At the 2011 census, Williamstown North had a population of 1,544."
"504","Warneet","VIC","Warneet is a town in Victoria, Australia, 54 km (34 mi) south-east of Melbourne's central business district at the head of the large bay of Western Port. Its local government area is the City of Casey. At the 2016 census, Warneet had a population of 536.[1]"
"505","Bena","VIC","Bena is a town in the South Gippsland region of Victoria, Australia."
"506","Watchem","VIC","Watchem is a town in north western Victoria, Australia. The town is in the Shire of Buloke local government area and on the Sunraysia Highway, 307 kilometres (191 mi) north west of the state capital, Melbourne and 35 kilometres (22 mi) from nearby Donald. At the 2011 census, Watchem and the surrounding area had a population of 454.[1]"
"507","Stony Creek","VIC","Stony Creek is a small township in South Gippsland, Victoria, Australia, located roughly between Meeniyan and Foster."
"508","Aberfeldie","VIC","Not to be confused with Aberfeldy, Victoria, a small town located on Mount Lookout, 125 kilometres east of Melbourne."
"509","Bellarine","VIC","Bellarine is a rural locality in the City of Greater Geelong, Victoria, Australia.[2] In the 2011 census, the population of Bellarine was too low to separately report; however in June 2014 the Victorian Electoral Commission recorded 134 enrolled voters in Bellarine, living in 81 properties.[3][4]"
"510","Pheasant Creek","VIC","Pheasant Creek is a rural area in Victoria to the east of Kinglake West and to the west of Kinglake Central. Named after the creek that passes through the north of the town, Pheasant Creek is a largely residential area with moderately sized bush blocks connecting pine plantations to the north with the Kinglake National Park to the south. Pheasant Creek also contains a small industrial estate hosting a variety of small businesses, and a small commercial area consisting of a General Store, Bakery, Hardware store and Gym."
"511","Reefton","VIC","Reefton is a bounded rural locality in Victoria, Australia, on the Warburton Woods Point Road. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Reefton had a population of 325. The Upper Yarra Reservoir lies within the locality."
"512","Nullawarre","VIC","Nullawarre is a locality in south west Victoria, Australia. The locality is in the Shire of Moyne and on the Great Ocean Road, 243 kilometres (151 mi) west of the state capital, Melbourne."
"513","Pyalong","VIC","Pyalong /ˈpaɪ.əlɒŋ/ is a town in central Victoria, Australia. The town is located on the Northern Highway, in the Shire of Mitchell local government area, 97 kilometres (60 mi) from the state capital, Melbourne. At the 2011 census, Pyalong had a population of 459.[1]"
"514","Pakenham Upper","VIC","Pakenham is a satellite suburb of Melbourne on the edge of the West Gippsland region of Victoria, Australia, 56 km (35 mi) south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Pakenham recorded a population of 46,421 at the 2016 Census."
"515","Yarra Glen","VIC","Yarra Glen is a town in Victoria, Australia, 40 km north-east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2011 census, Yarra Glen had a population of 2,611."
"516","Sedgwick","VIC","Sedgwick is a town in northern Victoria, Australia. The town is located in the City of Greater Bendigo."
"517","Aspendale Gardens","VIC","Aspendale Gardens is a suburb in Melbourne, Victoria, Australia, 27 km south-east of Melbourne's central business district.[2] Its local government area is the City of Kingston. According to the 2016 census, Aspendale Gardens had a population of 6,530.[1]"
"518","St Kilda West","VIC","St Kilda West is a suburb of Melbourne, Victoria, Australia, 5 km south of Melbourne's Central Business District. Its local government area is the City of Port Phillip. At the 2011 Census, St Kilda West had a population of 2,845."
"519","Charlemont","VIC","Coordinates: 38°13′05″S 144°22′01″E﻿ / ﻿38.218°S 144.367°E﻿ / -38.218; 144.367"
"520","Nilma","VIC","Nilma is a small town in the West Gippsland region of Victoria, Australia located between Warragul and Darnum. At the 2006 census Nilma had a population of 218."
"521","Langwarrin South","VIC","Langwarrin South is an official bounded locality in Melbourne, Victoria, Australia, 47 km south-east from Melbourne's central business district. Its local government area is the City of Frankston. At the 2006 Census, Langwarrin South had a population of 1003."
"522","Wattle Glen","VIC","Wattle Glen is a suburb of Melbourne, Victoria, Australia, 25 km north-east of Melbourne's Central Business District, located within the Shire of Nillumbik local government area. Wattle Glen recorded a population of 1,961 at the 2016 census."
"523","Tecoma","VIC","Tecoma is a suburb in Melbourne, Victoria, Australia, 34 km east from Melbourne's central business district. Its local government area is the Shire of Yarra Ranges. At the 2006 Census, Tecoma had a population of 2,189."
"524","Maryknoll","VIC","Maryknoll is a town in Victoria, Australia, 61 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Maryknoll recorded a population of 577 at the 2016 Census."
"525","Vermont South","VIC","Vermont South is a suburb of Melbourne, Victoria, Australia, 20 km east of Melbourne's Central Business District. Its local government area is the City of Whitehorse. At the 2011 census, Vermont South had a population of 11,416."
"526","Croydon North","VIC","Croydon North is a suburb of Melbourne, Victoria, Australia, 29 km north-east of Melbourne's Central Business District. Its local government area is the City of Maroondah. At the 2011 Census, Croydon North had a population of 7,693."
"527","Lynbrook","VIC","Lynbrook is a suburb in Melbourne, Victoria, Australia, 36 km south-east from Melbourne's central business district. Its local government area is the City of Casey. At the 2016 Census, Lynbrook had a population of 8,519.[1]"
"528","Gladstone Park","VIC","Gladstone Park is a suburb of Melbourne, Victoria, Australia, 15 km north-west from Melbourne's central business district. Its local government area is the City of Hume. At the 2016 Census, Gladstone Park had a population of 8,338."
"529","Winchelsea South","VIC","Winchelsea South is a rural locality in the Surf Coast Shire, Victoria, Australia.[2] In the 2016 census, Winchelsea South had a population of 179 people.[1]"
